rb_track_id,rb_track_name,rb_artists,rb_album,rb_genre,rb_file_type,rb_file_size_bytes,rb_duration_sec,rb_year_release,rb_average_bpm,rb_date_added,rb_playcount,rb_file_name,rb_tonality,rb_label,rb_extract_timestamp
34,Vermona (Original Mix),Andrea Oliva,,Tech House,MP3,20242444,502,0,123.0,2021-10-10,2,Andrea Oliva - Vermona (Original Mix),1A,,2025-12-12 14:53:56
35,Galactic Highways (Original Mix),ANNA,Galactic Highways,Techno,MP3,14678677,357,2019,130.0,2021-10-10,3,ANNA - Galactic Highways (Original Mix),2A,Sharing-DB.com,2025-12-12 14:53:56
36,The Dansant,ANNA,Speicher 101,Techno,MP3,16024950,400,0,126.0,2021-10-10,0,ANNA - The Dansant,12A,,2025-12-12 14:53:56
37,Let Me Hear Ya,ANOTR,Let Me Hear Ya EP,"Deep Tech, Minimal",MP3,17111588,427,0,126.0,2021-10-10,8,ANOTR - Let Me Hear Ya,6A,,2025-12-12 14:53:56
38,Jungle Disco (Riaz Dhanani Remix),Apollo 84,,Tech House,MP3,16167723,403,0,125.0,2021-10-10,2,Apollo 84 - Jungle Disco (Riaz Dhanani Remix),11B,,2025-12-12 14:53:56
39,Aquarius (Original Mix),ARTBAT,,Melodic Techno,MP3,18918895,472,2019,122.0,2021-10-10,2,ARTBAT - Aquarius (Original Mix),8A,,2025-12-12 14:53:56
40,Element (Original Mix),ARTBAT,,Melodic Techno,MP3,17803540,444,0,123.0,2021-10-10,0,ARTBAT - Element (Original Mix),9A,,2025-12-12 14:53:56
41,Orbital (Original Mix),ARTBAT,,Melodic Techno,MP3,21890068,545,2019,123.0,2021-10-10,2,ARTBAT - Orbital (Original Mix),1A,,2025-12-12 14:53:56
42,Papillon (Original Mix),ARTBAT,,Melodic Techno,MP3,17077163,426,0,122.0,2021-10-10,3,ARTBAT - Papillon (Original Mix),4A,,2025-12-12 14:53:56
43,Prometheus (Original Mix),ARTBAT ,Planeta ,Melodic Techno,MP3,18901233,471,2018,124.0,2021-10-10,0,ARTBAT - Prometheus Original Mix,5B,,2025-12-12 14:53:56
44,Upperground (Original Mix),ARTBAT,,Melodic Techno,MP3,16284682,405,2019,123.0,2021-10-10,5,ARTBAT - Upperground (Original Mix),6A,,2025-12-12 14:53:56
45,Wall (Original Mix),ARTBAT,,Techno,MP3,22118996,545,0,124.0,2021-10-10,3,ARTBAT - Wall Original Mix,6A,,2025-12-12 14:53:56
46,Best Of Me (Original Mix),"ARTBAT, Sailor & I",,Melodic Techno,MP3,22142461,553,2020,125.0,2021-10-10,0,"ARTBAT, Sailor & I - Best Of Me (Original Mix)",8A,,2025-12-12 14:53:56
47,Closer,"ARTBAT, WhoMadeWho",Montserrat / Closer,Melodic Techno,MP3,18486733,460,0,125.0,2021-10-10,0,"ARTBAT, WhoMadeWho - Closer",2A,,2025-12-12 14:53:56
48,Trancelate,Autarkic,Terms and Conditions,Melodic House,MP3,17309022,429,2020,119.0,2021-10-10,1,Autarkic - Trancelate,4A,,2025-12-12 14:53:56
49,Jumpin (Original Mix),Avision,,Techno,MP3,16282585,405,2019,128.0,2021-10-10,1,Avision - Jumpin (Original Mix),3A,,2025-12-12 14:53:56
50,On The Floor (Original Mix),Avision,,Techno,MP3,16503070,411,2018,128.02,2021-10-10,1,Avision - On The Floor (Original Mix),10A,,2025-12-12 14:53:56
51,Aura (Original Mix),Avoure,,Progressive House,MP3,20944658,521,0,123.0,2021-10-10,0,Avoure - Aura (Original Mix),12A,,2025-12-12 14:53:56
52,Jump N Shout (Erik Hagleton Remix),Basement Jaxx,,Tech House,MP3,15734944,392,2016,123.0,2021-10-10,0,Basement Jaxx - Jump N Shout (Erik Hagleton Remix),5A,,2025-12-12 14:53:56
53,Bones (Be Svendsen's Rodeo Rerub),Be Svendsen,,Melodic House,MP3,29140639,714,0,121.0,2021-10-10,0,Be Svendsen - Bones (Be Svendsen's Rodeo Rerub),9A,,2025-12-12 14:53:56
55,Directions Ft. Wevie Stonder (The Cirez D Edit),"BETON, Cirez D",,Techno,MP3,17715394,441,0,124.0,2021-10-10,1,BETON - Directions feat Wevie Stonder (The Cirez D Edit),6A,,2025-12-12 14:53:56
56,Just Let Go (Original Mix),"Birds Of Mind, Zemira Israel",,Melodic House,MP3,15864806,396,2019,122.0,2021-10-10,1,"Birds Of Mind, Zemira Israel - Just Let Go (Original Mix)",5A,,2025-12-12 14:53:56
57,Wish You Were Here (Guy Mantzur Remix),"Black Coffee, Msaki, Guy Mantzur",Wish You Were Here (Guy Mantzur Remix),Melodic House,MP3,20552669,513,0,120.0,2021-10-10,5,"Black Cofee, Msaki - Wish You Were Here (Guy Mantzur Remix)",8A,,2025-12-12 14:53:56
58,Bad Speech (Original Mix),Blackchild (ITA),,Tech House,MP3,18196825,453,0,127.0,2021-10-10,5,Blackchild (ITA) - Bad Speech (Original Mix),11A,,2025-12-12 14:53:56
59,Maven,"Bohemien, Raf Parola",Feeling It,Tech House,MP3,17678352,439,2018,124.0,2021-10-10,5,"Bohemien, Raf Parola - Maven",9A,,2025-12-12 14:53:56
60,Visions (Stefano Noferini Remix),"Bontan, Stefano Noferini",Senses EP,Tech House,MP3,18991805,474,0,123.0,2021-10-10,2,Bontan - Visions (Stefano Noferini Remix),6A,,2025-12-12 14:53:56
61,A Night in the Life Of feat. Lyke (Original Mix),Boxia,A Night in the Life Of,Melodic Techno,MP3,21000152,522,2019,128.0,2021-10-10,2,Boxia - A Night in the Life Of feat. Lyke (Original Mix),8A,Drumcode,2025-12-12 14:53:56
62,Primal People (Original Mix),Boxia,A Night in the Life Of,Techno,MP3,16839368,417,2019,129.0,2021-10-10,2,Boxia - Primal People (Original Mix),1A,,2025-12-12 14:53:56
63,Unofficial Everything (Original Mix),Boxia,A Night in the Life Of,Melodic Techno,MP3,16639792,412,2019,128.0,2021-10-10,1,Boxia - Unofficial Everything (Original Mix),9A,,2025-12-12 14:53:56
64,The Spirit (Adriatique's 7am Remix),"The Butch, Adriatique",,Melodic House,MP3,18987509,474,2016,123.0,2021-10-10,2,Butch - The Spirit (Adriatique's 7am Remix),9A,,2025-12-12 14:53:56
65,Don't Call me Baby [Edit],"Calum Percival, Jerome Withers",,"Deep Tech, Minimal",WAV,64221780,334,0,127.0,2021-10-10,4,"Calum Percival, Jerome Withers - Don't Call me Baby [Edit]",10A,,2025-12-12 14:53:56
66,Im Not Alone (Thomas Schumacher Extended),"Calvin Harris, Thomas Schumacher",I'm Not Alone 2019 - Remixes,Techno,MP3,16492953,412,2019,128.0,2021-10-10,2,Calvin Harris - Im Not Alone (Thomas Schumacher Extended Remix),4A,,2025-12-12 14:53:56
67,DMT (Original Mix),CamelPhat,,Techno,MP3,16840073,420,2018,125.62,2021-10-10,7,CamelPhat - DMT (Original Mix),12A,,2025-12-12 14:53:56
68,Panic Room (Club Mix),CamelPhat Ft. AuRa ,,Melodic House,MP3,17093566,425,0,123.0,2021-10-10,0,CamelPhat & AuRa - Panic Room (CamelPhat Club Mix),5A,,2025-12-12 14:53:56
69,Freak (Ft. Cari Golden) (Original Mix),"CamelPhat, Cari Golden",,Tech House,MP3,13376806,329,0,129.78,2021-10-10,1,CamelPhat Ft. Cari Golden - Freak (Original Mix),9A,,2025-12-12 14:53:56
70,Be Someone (Original Mix),"CamelPhat, Jake Bugg",,Progressive House,MP3,8211066,204,2019,122.0,2021-10-10,0,Camelphat Ft. Jake Bugg - Be Someone (Original Mix),4A,,2025-12-12 14:53:56
71,Dopamine Machine (Club Mix),"CamelPhat, Ali Love",Dopamine Machine,Tech House,MP3,20188446,498,2018,124.0,2021-10-10,2,"CamelPhat, Ali Love - Dopamine Machine (Club Mix)",2A,Defected Records,2025-12-12 14:53:56
72,For A Feeling (Extended Mix),"CamelPhat, ARTBAT, Rhodes",,Melodic Techno,MP3,18617943,464,2020,122.0,2021-10-10,0,"CamelPhat, ARTBAT, Rhodes - For A Feeling (Extended Mix)",7B,,2025-12-12 14:53:56
73,Breathe (feat. Jem Cooke) (Original Mix),CamelPhat & Cristoph,,Progressive House,MP3,17406170,433,2018,125.0,2021-10-10,2,"CamelPhat, Cristoph Ft. Jem Cooke - Breathe (Original Mix)",8A,,2025-12-12 14:53:56
74,Cola (Original Mix),"CamelPhat, Elderbrook",,House,MP3,16669321,415,2018,122.0,2021-10-10,6,"CamelPhat, Elderbrook - Cola (Original Mix)",3A,,2025-12-12 14:53:56
75,Ohh Baby (David Tort's Dub Tech Mix),"Nile Rodgers, Carl Cox",Space Ibiza 2016,Tech House,MP3,18135709,452,0,124.0,2021-10-10,1,Carl Cox - Ohh Baby (David Tort's Dub Tech Mix),11A,,2025-12-12 14:53:56
76,Time for House Music - Original Mix,Carl Cox,Time for House Music,Tech House,MP3,18367074,458,0,126.0,2021-10-10,0,Carl Cox - Time for House Music (Original Mix),5B,,2025-12-12 14:53:56
77,I Want You  (Forever) (Josh Butler Remix),"Carl Cox, Josh Butler",,Tech House,MP3,16956024,423,0,126.0,2021-10-10,1,Carl Cox- I Want You (Forever) (Josh Butler Remix),9A,,2025-12-12 14:53:56
